account_id,transaction_id,authorized_date,date,name,merchant_name,amount,iso_currency_code,pending,payment_channel,category,category_id
wrJyLQqMX7TpyAXwRMKrimXrogEnMDiRzbxxm,jDB5KQAE48cABg3n8rjqUKQkBVj1QYuvDkLom,2025-09-06,2025-09-07,Withdrawal Signature base / APPLE CASH SENT MONEY 1INFINITELOOP CA Date 09/06/25 24055235250470441855705 4829 %% Card 25 #0695,,9.0,USD,False,other,,
wrJyLQqMX7TpyAXwRMKrimXrogEnMDiRzbxxm,rkj1aYXMN6tAPKJk0Mm8Ux0LdqMV0zFr1jvMg,2025-09-04,2025-09-05,Withdrawal Signature base / APPLE CASH SENT MONEY 1INFINITELOOP CA Date 09/04/25 24055235248468039883969 4829 %% Card 25 #0695,,4.74,USD,False,other,,
wrJyLQqMX7TpyAXwRMKrimXrogEnMDiRzbxxm,4mRVxkNaY0u16LeVwqaKIw37VMOj3BTDdzXpZ,,2025-09-05,Withdrawal Wealthfront / TYPE: EDI PYMNTS ID: 4271967207 DATA: EDI CO: Wealthfront NAME: Kosisonna Ugochukwu %% ACH ECC WEB %% ACH Trace 091000018726713,Wealthfront,500.0,USD,False,other,,
wrJyLQqMX7TpyAXwRMKrimXrogEnMDiRzbxxm,a9N56gDE3PT5OYD3pBPQHwErgPD4ExTKr38MV,,2025-09-04,Deposit Kosisonna Ugoc / TYPE: BANK XFER ID: 6192912998 CO: APPLE CASH NAME: Kosisonna Ugoc %% ACH ECC WEB %% ACH Trace 124303126067966,,-702.54,USD,False,other,,
wrJyLQqMX7TpyAXwRMKrimXrogEnMDiRzbxxm,x48KDQmMnRc0nkD6wMY7UNa3bz8Oa0UmBpe83,,2025-09-03,Deposit Kosisonna Ugoc / TYPE: BANK XFER ID: 6192912998 CO: APPLE CASH NAME: Kosisonna Ugoc %% ACH ECC WEB %% ACH Trace 124303125604463,,-250.0,USD,False,other,,
wrJyLQqMX7TpyAXwRMKrimXrogEnMDiRzbxxm,JPjXMDy0KNSZY50RnqOycMdALqykd0u0E3YRp,,2025-09-02,Deposit Kosisonna Ugoc / TYPE: BANK XFER ID: 6192912998 CO: APPLE CASH NAME: Kosisonna Ugoc %% ACH ECC WEB %% ACH Trace 124303124338941,,-122.73,USD,False,other,,
wrJyLQqMX7TpyAXwRMKrimXrogEnMDiRzbxxm,88XVLjJZYyT3ZD80gXBwfj8KwpzQ8mCYjkdnp,,2025-09-01,GEICO,GEICO,-9.09,USD,False,online,,
wrJyLQqMX7TpyAXwRMKrimXrogEnMDiRzbxxm,Z8M5gxyE69Tm46MzZwbqHym90QJvmMc8pP0dp,,2025-08-29,Deposit Kosisonna Ugoc / TYPE: BANK XFER ID: 6192912998 CO: APPLE CASH NAME: Kosisonna Ugoc %% ACH ECC WEB %% ACH Trace 124303124189910,,-100.0,USD,False,other,,
wrJyLQqMX7TpyAXwRMKrimXrogEnMDiRzbxxm,5aQzdAJmYjHP4AovJBakU4MqXOvrMwCN5mq89,,2025-08-28,Deposit Kosisonna Ugoc / TYPE: BANK XFER ID: 6192912998 CO: APPLE CASH NAME: Kosisonna Ugoc %% ACH ECC WEB %% ACH Trace 124303123876398,,-250.79,USD,False,other,,
wrJyLQqMX7TpyAXwRMKrimXrogEnMDiRzbxxm,o3A6jQnYZ9fkV05xoEJOHd7bLMN47pfrK08q0,,2025-08-28,"Deposit Kiosk / WEALTHFRONT BROKERAGE LLC/WELLS FARGO BANK, NA/b9df1fb8dd2641f795220f9ef8ebcc9e",Wealthfront,-500.0,USD,False,other,,
